Date,Portfolio Value
2011-03-17,4515.489278934652
2011-03-18,4547.67584416705
2011-03-21,4615.941967110562
2011-03-22,4609.077267530488
2011-03-23,4634.920820390397
2011-03-24,4667.341452029644
2011-03-25,4686.527781772511
2011-03-28,4677.818638906466
2011-03-29,4708.931494717364
2011-03-30,4736.389918531408
2011-03-31,4724.547656369842
2011-04-01,4746.402717657041
2011-04-04,4755.342181867426
2011-04-05,4752.991406130158
2011-04-06,4765.589047399908
2011-04-07,4758.970023920463
2011-04-08,4747.67978397281
2011-04-11,4748.086497761351
2011-04-12,4703.014295952216
2011-04-13,4705.856049384492
2011-04-14,4711.286390023392
2011-04-15,4733.0227328290375
2011-04-18,4679.241388153858
2011-04-19,4704.229943242828
2011-04-20,4775.8628773824585
2011-04-21,4795.977233615202
2011-04-25,4785.964059983317
2011-04-26,4830.2539182342
2011-04-27,4866.912088103045
2011-04-28,4894.657758211573
2011-04-29,4912.770378532942
2011-05-02,4911.55098617982
2011-05-03,4911.608285636217
2011-05-04,4879.42172040382
2011-05-05,4825.958706041954
2011-05-06,4846.886115345528
2011-05-09,4864.503638403129
2011-05-10,4893.526749333678
2011-05-11,4843.545894093228
2011-05-12,4868.814205351664
2011-05-13,4830.399601165823
2011-05-16,4812.2296813880575
2011-05-17,4785.849086564273
2011-05-18,4816.758585480901
2011-05-19,4834.069762425218
2011-05-20,4798.297299839891
2011-05-23,4748.143797217748
2011-05-24,4738.537337374405
2011-05-25,4753.282771993404
2011-05-26,4756.388926838856
2011-05-27,4771.276299326967
2011-05-31,4820.444101496587
2011-06-01,4713.199742459541
2011-06-02,4697.2502702437105
2011-06-03,4659.940084991947
2011-06-06,4636.431953113016
2011-06-07,4629.087885531715
2011-06-08,4620.7011925477445
2011-06-09,4649.624310309288
2011-06-10,4583.490625958736
2011-06-13,4583.896965241026
2011-06-14,4631.120705461919
2011-06-15,4562.536252205093
2011-06-16,4587.175767468169
2011-06-17,4603.6049821914785
2011-06-20,4632.75804679111
2011-06-21,4674.800493029989
2011-06-22,4643.990612776116
2011-06-23,4621.107531830035
2011-06-24,4576.844638029222
2011-06-27,4618.6376631049625
2011-06-28,4674.294535084944
2011-06-29,4702.1858881250955
2011-06-30,4760.829821962724
2011-07-01,4825.421664078079
2011-07-05,4820.474811009165
2011-07-06,4842.0077969205395
2011-07-07,4877.853288224804
2011-07-08,4853.965407007401
2011-07-11,4795.888850139975
2011-07-12,4773.30874475092
2011-07-13,4790.462629069834
2011-07-14,4769.565929278839
2011-07-15,4785.906760526921
2011-07-18,4749.639575184077
2011-07-19,4827.205062845144
2011-07-20,4821.257154567418
2011-07-21,4879.740050717134
2011-07-22,4863.153917874673
2011-07-25,4829.268217781676
2011-07-26,4794.178480091847
2011-07-27,4717.958967896725
2011-07-28,4694.013787222925
2011-07-29,4656.864639659073
2011-08-01,4652.742074848519
2011-08-02,4550.782373518752
2011-08-03,4562.2182963980285
2011-08-04,4365.577422725878
2011-08-05,4388.943991241947
2011-08-08,4145.516800650023
2011-08-09,4310.388683559595
2011-08-10,4111.037133643004
2011-08-11,4273.396828621146
2011-08-12,4321.605894788311
2011-08-15,4403.628006835787
2011-08-16,4374.110173147722
2011-08-17,4375.751634045674
2011-08-18,4214.825923502454
2011-08-19,4148.508356582681
2011-08-22,4162.697649419006
2011-08-23,4286.224791235235
2011-08-24,4341.428885157808
2011-08-25,4275.893661796287
2011-08-26,4327.557922634798
2011-08-29,4425.2377665286085
2011-08-30,4433.17617553018
2011-08-31,4453.723835495282
2011-09-01,4407.719862133763
2011-09-02,4310.576685697576
2011-09-06,4271.859105954709
2011-09-07,4377.53503281274
2011-09-08,4331.879724770862
2011-09-09,4215.420264922725
2011-09-12,4241.877633527956
2011-09-13,4259.03114334062
2011-09-14,4313.058164116429
2011-09-15,4384.560395574475
2011-09-16,4413.671515473999
2011-09-19,4372.2234106553915
2011-09-20,4375.157292625402
2011-09-21,4266.313791896763
2011-09-22,4116.363736050391
2011-09-23,4130.802450049854
2011-09-26,4235.258610048511
2011-09-27,4291.567122905161
2011-09-28,4222.618649572403
2011-09-29,4277.489058425372
2011-09-30,4185.220080845414
2011-10-03,4086.2478158795443
2011-10-04,4145.0797518551535
2011-10-05,4195.409646921498
2011-10-06,4265.734805232781
2011-10-07,4257.98439836919
2011-10-10,4384.560395574475
2011-10-11,4378.087055026653
2011-10-12,4417.414330946081
2011-10-13,4401.798543799854
2011-10-14,4465.596807169428
2011-10-17,4370.685687988955
2011-10-18,4439.733779984468
2011-10-19,4411.957400363361
2011-10-20,4426.208112224843
2011-10-21,4528.604862349478
2011-10-24,4568.806610364894
2011-10-25,4489.423269361673
2011-10-26,4551.710400008628
2011-10-27,4681.9104942044405
2011-10-28,4690.562337614089
2011-10-31,4584.679308799279
2011-11-01,4470.762371888902
2011-11-02,4539.055084776231
2011-11-03,4618.986702930855
2011-11-04,4595.505535501994
2011-11-07,4628.159859041839
2011-11-08,4667.195769098021
2011-11-09,4517.924693084637
2011-11-10,4561.228850882995
2011-11-11,4660.868111481822
2011-11-14,4632.221379333487
2011-11-15,4638.809693300353
2011-11-16,4565.727045463261
2011-11-17,4514.009230230863
2011-11-18,4523.761373005829
2011-11-21,4428.328566617771
2011-11-22,4407.777161590159
2011-11-23,4317.2073188708
2011-11-25,4307.275038589124
2011-11-28,4419.009727575165
2011-11-29,4431.51935987594
2011-11-30,4619.450716175794
2011-12-01,4609.614309494363
2011-12-02,4609.380243087513
2011-12-05,4639.450098989492
2011-12-06,4659.506781259587
2011-12-07,4677.239652242483
2011-12-08,4601.05084955994
2011-12-09,4672.595400224344
2011-12-12,4610.135622195697
2011-12-13,4584.652718855461
2011-12-14,4534.23855988265
2011-12-15,4551.622016533402
2011-12-16,4550.693990043526
2011-12-19,4512.294740613975
2011-12-20,4641.655191795137
2011-12-21,4643.250588424221
2011-12-22,4666.992786710001
2011-12-23,4714.680165669581
2011-12-27,4713.663755704479
2011-12-28,4659.997758954594
2011-12-29,4712.011059618998
2011-12-30,4685.365688875786
2012-01-03,4754.325771902324
2012-01-04,4762.3945090792295
2012-01-05,4761.351509170309
2012-01-06,4739.960086621798
2012-01-09,4752.52739288522
2012-01-10,4779.287362541226
2012-01-11,4774.2944452034435
2012-01-12,4782.566164768369
2012-01-13,4763.790293876553
2012-01-17,4786.804077504218
2012-01-18,4823.95697013058
2012-01-19,4841.225827868538
2012-01-20,4878.233037563276
2012-01-23,4873.761432926829
2012-01-24,4861.079153244363
2012-01-25,4892.947388163445
2012-01-26,4883.659258633417
2012-01-27,4855.2155088731015
2012-01-30,4852.630666728985
2012-01-31,4844.650313027305
2012-02-01,4876.691195328079
2012-02-02,4872.453657098481
2012-02-03,4932.593368902439
2012-02-06,4926.035389941901
2012-02-07,4938.717669624367
2012-02-08,4940.922762430012
2012-02-09,4943.419221098903
2012-02-10,4909.200210442552
2012-02-13,4937.122272995282
2012-02-14,4938.748379136946
2012-02-15,4901.4228391288925
2012-02-16,4948.642459781025
2012-02-17,4966.202683382228
2012-02-21,4972.26968464776
2012-02-22,4961.907471189983
2012-02-23,4979.556078266413
2012-02-24,4978.888708127205
2012-02-27,4978.336311407041
2012-02-28,4987.39074903647
2012-02-29,4967.046445965639
2012-03-01,4977.872298162103
2012-03-02,4976.825553190673
2012-03-05,4971.1648912074315
2012-03-06,4893.06273608874
2012-03-07,4923.044208515493
2012-03-08,4950.122882991064
2012-03-09,4955.5221396111365
2012-03-12,4969.976208366888
2012-03-13,5053.56637808713
2012-03-14,5059.86332619075
2012-03-15,5082.3591676733395
2012-03-16,5074.635725259817
2012-03-19,5077.132183928708
2012-03-20,5050.694289648527
2012-03-21,5033.218329953788
2012-03-22,5003.12150960174
2012-03-23,5016.38689551695
2012-03-26,5078.090919931163
2012-03-27,5061.255740431814
2012-03-28,5033.82802613035
2012-03-29,5041.348486155852
2012-03-30,5066.743380527113
2012-04-02,5086.8577367598555
2012-04-03,5061.95344557735
2012-04-04,5014.093419236079
2012-04-05,5008.490431215485
2012-04-09,4958.425312068569
2012-04-10,4876.487838433809
2012-04-11,4910.795232565385
2012-04-12,4980.280747862018
2012-04-13,4927.745759990029
2012-04-16,4955.288447710538
2012-04-17,5029.736170832374
2012-04-18,4997.986654394846
